parcel,estimate,se,df,statistic,p.value,term,p.fdr,hemi,num.roi
LH_Default_PFC_21,0.0966064814814817,0.0354650952317302,377.000010910815,2.72398765180952,0.00675003221041857,hiloRN,0.0870971898118526,L,186
LH_Default_PFC_22,0.0330687314814815,0.0308637993766453,377.000000374123,1.07144072179606,0.284656729975875,hiloRN,0.694284707258232,L,187
LH_Default_PFC_23,0.0245033518518519,0.02956793885531,377.000036152085,0.828713559364367,0.407790858433208,hiloRN,0.765804428982551,L,188
LH_Default_PFC_24,0.131474601851852,0.0314390600005477,377.000000321064,4.18188717632021,3.59868680862612e-05,hiloRN,0.00159941635938939,L,189
LH_Default_pCunPCC_1,-0.0184792824074075,0.040084301227747,377.000019145611,-0.461010466476982,0.645056935212205,hiloRN,0.872257947794747,L,190
LH_Default_pCunPCC_2,-0.00517682407407441,0.0346892793635923,377.000058357612,-0.149234119850517,0.881448695311411,hiloRN,0.95321752712703,L,191
LH_Default_pCunPCC_3,-0.0828070324074083,0.0450910812644692,377.000018696444,-1.83643927103293,0.0670799124920186,hiloRN,0.320192364857368,L,192
LH_Default_pCunPCC_4,0.0732318101851852,0.0416392339460878,377.000001348886,1.7587213607244,0.0794361202386424,hiloRN,0.353049423282855,L,193
LH_Default_pCunPCC_5,0.0224847592592593,0.0466471766353539,377.000000202183,0.482017581364572,0.630073164603219,hiloRN,0.872257947794747,L,194
LH_Default_pCunPCC_6,-0.0420839259259256,0.0398141621236633,377.000000079725,-1.05700895563776,0.291184336237423,hiloRN,0.701649002981741,L,195
LH_Default_pCunPCC_7,-0.0432554166666666,0.0413315533095929,377.000014668261,-1.04654708577399,0.295979029061243,hiloRN,0.703268828057857,L,196
LH_Default_pCunPCC_8,-0.0259741250000004,0.036929382146032,377.000000209772,-0.703345777551582,0.482274418121237,hiloRN,0.830363460010732,L,197
LH_Default_pCunPCC_9,-0.016832050925926,0.0387941806936206,377.000001320879,-0.433880819880129,0.664623170624617,hiloRN,0.872257947794747,L,198
LH_Default_pCunPCC_10,0.0926817222222222,0.04268151516519,377.000019333006,2.17147216689747,0.0305185448103476,hiloRN,0.206905388544729,L,199
LH_Default_pCunPCC_11,0.029636685185185,0.0369278605834851,377.000000352343,0.802556246609075,0.422736897877087,hiloRN,0.772122187903355,L,200
RH_Vis_1,-0.0364220787037037,0.0373476203789103,377.00000029731,-0.975218188848004,0.330077369425053,hiloRN,0.750175839602393,R,201
RH_Vis_2,-0.0277044444444447,0.0339437313489796,377.00000035452,-0.816187359003403,0.414908385034074,hiloRN,0.768348861174211,R,202
RH_Vis_3,-0.0267877175925926,0.0447038043105525,377.000001767787,-0.599226799726063,0.5493815722901,hiloRN,0.855068595004047,R,203
RH_Vis_4,-0.028392782407408,0.0454791308857645,377.000003518377,-0.624303539984651,0.53280586358795,hiloRN,0.851971777845771,R,204
RH_Vis_5,-0.029591875,0.0356425847248764,377.000000170994,-0.830239311442154,0.406928928102845,hiloRN,0.765804428982551,R,205
RH_Vis_6,0.00331412037037032,0.0357938296590516,377.000042260142,0.0925891529891727,0.926279142590697,hiloRN,0.97503067641126,R,206
RH_Vis_7,-0.0139838842592594,0.0464745728002856,377.000001113387,-0.300893228633906,0.763661787364632,hiloRN,0.903741760194831,R,207
RH_Vis_8,-0.0272767870370371,0.0443466407584846,377.000000242104,-0.61508124562554,0.53887214948745,hiloRN,0.851971777845771,R,208
RH_Vis_9,-0.031190986111111,0.0342996517524444,377.000000093626,-0.909367428457582,0.363737195270084,hiloRN,0.759788343445901,R,209
RH_Vis_10,-0.0230934583333334,0.0541257013698353,377.000001749764,-0.426663447287976,0.669868011585778,hiloRN,0.872257947794747,R,210
RH_Vis_11,0.0138280231481483,0.05292716284955,377.000000235579,0.261265150135774,0.794030706294898,hiloRN,0.912678972752756,R,211
RH_Vis_12,0.0331050787037037,0.0472994715530872,377.00000337967,0.699903775173213,0.484419050369879,hiloRN,0.830363460010732,R,212
RH_Vis_13,0.0178463333333334,0.065003426661496,377.000058871078,0.274544500957893,0.783816590308476,hiloRN,0.909660112128574,R,213
RH_Vis_14,0.038477037037037,0.0536088185051466,377.000000218419,0.717737083374504,0.47336391501764,hiloRN,0.819677774922321,R,214
RH_Vis_15,0.0896201435185182,0.0474399956473694,377.000003279672,1.88912630145841,0.0596421275874882,hiloRN,0.306120474823177,R,215
RH_Vis_16,-0.0626927962962961,0.0298453571255255,377.00001947103,-2.10058790828398,0.0363408479143124,hiloRN,0.230735542313095,R,216
