parcel,estimate,se,df,statistic,p.value,term,p.fdr,hemi,num.roi
LH_SomMot_26,-0.00174502469135809,0.00985685098188274,1241.00000272954,-0.177036732579756,0.85950842525663,hiloInCon,0.89068230596542,L,57
LH_SomMot_27,-0.00600195833333333,0.00823910592250734,1241.00000262857,-0.728472044149519,0.466462111822583,hiloInCon,0.579456039531159,L,58
LH_SomMot_28,0.00247654012345686,0.0103545070785067,1241.00018717848,0.239175086238294,0.811009313000829,hiloInCon,0.862652454129566,L,59
LH_SomMot_29,0.00220458796296281,0.00949210796558278,1241.00000075251,0.232254834327251,0.816378384293644,hiloInCon,0.862652454129566,L,60
LH_SomMot_30,0.0121840694444445,0.00813277271088421,1241.00002110911,1.4981445907296,0.134349994813014,hiloInCon,0.211574794981124,L,61
LH_SomMot_31,0.0293788302469154,0.0122316093829251,1241.00000011252,2.40187773556006,0.0164574196833866,hiloInCon,0.0346471993334454,L,62
LH_SomMot_32,0.00692263425925923,0.00912425582670088,1241.0000219714,0.758706725320118,0.448172081656612,hiloInCon,0.560215102070765,L,63
LH_SomMot_33,0.00238269753086418,0.00881160721088151,1241.00000385096,0.27040441928934,0.786894102638964,hiloInCon,0.852062636713102,L,64
LH_SomMot_34,0.00846389197530897,0.00796133854984728,1241.00014634909,1.06312423750292,0.287932438555388,hiloInCon,0.390416865837814,L,65
LH_SomMot_35,0.0172012114197527,0.0108961374357684,1241.00000341972,1.57865220782613,0.114670695499637,hiloInCon,0.184952734676834,L,66
LH_SomMot_36,-0.0044247006172838,0.00769737989649677,1241.00000162691,-0.574832043731864,0.565509084234522,hiloInCon,0.677256388304816,L,67
LH_SomMot_37,0.0165038194444445,0.0101184318460905,1241.00000025393,1.63106494123605,0.103130349062215,hiloInCon,0.171595388635722,L,68
LH_DorsAttn_Post_1,0.0357256898148145,0.010405677811348,1241.0000005291,3.4332881012185,0.000615959644179416,hiloInCon,0.00175988469765547,L,69
LH_DorsAttn_Post_2,0.101689330246911,0.0101491384268514,1241.0000001859,10.0195037223921,8.93434796903937e-23,hiloInCon,3.57373918761575e-21,L,70
LH_DorsAttn_Post_3,0.0191041435185185,0.00971670650616377,1241.00000327178,1.96611305552965,0.0495081844502305,hiloInCon,0.0934116687740199,L,71
LH_DorsAttn_Post_4,-0.00587331018518518,0.00915093159477397,1241.00002215318,-0.641826476829898,0.521104386399928,hiloInCon,0.631684580247811,L,72
LH_DorsAttn_Post_5,0.0900014675925931,0.0114967304858568,1241.00000166988,7.82844024249435,1.05253876754193e-14,hiloInCon,1.55931669265471e-13,L,73
LH_DorsAttn_Post_6,0.0345029660493827,0.00892125177411805,1241.00000063022,3.86750278133403,0.000115659293520687,hiloInCon,0.000355874749294423,L,74
LH_DorsAttn_Post_7,0.106947591049384,0.0116245477515598,1241.00000147479,9.20015069274701,1.46942342361087e-19,hiloInCon,3.67355855902718e-18,L,75
LH_DorsAttn_Post_8,-0.000439885802469155,0.0108002323118239,1241.00000061296,-0.0407292907938265,0.967518261639142,hiloInCon,0.974829482759841,L,76
LH_DorsAttn_Post_9,0.108544816358025,0.0115915469604772,1241.00002116575,9.36413549702396,3.48341929187804e-20,hiloInCon,1.07182132057786e-18,L,77
LH_DorsAttn_Post_10,0.139308925925925,0.0132181565366369,1241.00000141768,10.5392098769447,6.21233730851992e-25,hiloInCon,3.10616865425996e-23,L,78
LH_DorsAttn_Post_11,0.0174933024691358,0.00971512510755307,1241.00000172856,1.80062554784144,0.0720046444984301,hiloInCon,0.127441848669788,L,79
LH_DorsAttn_Post_12,0.0589157052469142,0.0104142514444041,1241.00000846344,5.65721939415737,1.90828355276318e-08,hiloInCon,1.13927376284369e-07,L,80
LH_DorsAttn_Post_13,0.0418350493827157,0.0104055937572433,1241.00009530919,4.02043846403235,6.15906571806095e-05,hiloInCon,0.000198679539292289,L,81
LH_DorsAttn_Post_14,0.036360604938272,0.0103701313259714,1241.00000136678,3.50628201276573,0.000470626663104367,hiloInCon,0.00136413525537498,L,82
LH_DorsAttn_Post_15,-0.0042164151234567,0.00949647145099906,1241.00002223876,-0.443998083415827,0.657121375376589,hiloInCon,0.755311925720217,L,83
LH_DorsAttn_Post_16,-0.0020238950617284,0.00799255437996125,1241.00000022026,-0.253222557584676,0.800138176369246,hiloInCon,0.858057025597047,L,84
LH_DorsAttn_Post_17,-0.0138207669753087,0.0083416224464558,1241.00000391071,-1.65684398497091,0.0978037944073554,hiloInCon,0.164376125054379,L,85
LH_DorsAttn_FEF_1,0.0575396203703708,0.0103483705928387,1241.000000782,5.56025896581145,3.29527499556826e-08,hiloInCon,1.91030434525696e-07,L,86
LH_DorsAttn_FEF_2,0.0623690231481479,0.00963500462268821,1241.00008006931,6.47317002851075,1.37879957056018e-10,hiloInCon,1.25345415505471e-09,L,87
