subj,parcel,term,beta
DMCC6627478,LH_Vis_5,hihi,9.24138703739042
DMCC6671683,LH_Vis_5,hihi,83.4921969476064
DMCC6705371,LH_Vis_5,hihi,39.519088349592
DMCC7297690,LH_Vis_5,hihi,34.1139048900088
DMCC7921988,LH_Vis_5,hihi,27.9220423139033
DMCC8050964,LH_Vis_5,hihi,26.4916262103023
DMCC8078683,LH_Vis_5,hihi,34.6656823312488
DMCC8214059,LH_Vis_5,hihi,96.1577121195244
DMCC8260571,LH_Vis_5,hihi,11.297674404917
DMCC9441378,LH_Vis_5,hihi,214.541827134391
DMCC9478705,LH_Vis_5,hihi,39.2178858548417
DMCC9850294,LH_Vis_5,hihi,197.824697269388
DMCC9953810,LH_Vis_5,hihi,642.053395771468
102008,LH_Vis_6,hihi,200.802763997372
107321,LH_Vis_6,hihi,238.311717651543
115825,LH_Vis_6,hihi,201.612870080322
123117,LH_Vis_6,hihi,988.914630146054
130114,LH_Vis_6,hihi,461.745392891418
130518,LH_Vis_6,hihi,3566.40605657917
132017,LH_Vis_6,hihi,390.32784454422
141422,LH_Vis_6,hihi,47.9606924911827
150423,LH_Vis_6,hihi,3607.07759121907
158136,LH_Vis_6,hihi,217.720819600588
161832,LH_Vis_6,hihi,514.571314577468
165032,LH_Vis_6,hihi,3073.56090315042
173738,LH_Vis_6,hihi,115.44122700343
176845,LH_Vis_6,hihi,363.990108982671
178950,LH_Vis_6,hihi,422.296485607363
182436,LH_Vis_6,hihi,398.451946508817
203418,LH_Vis_6,hihi,143.045445686282
204319,LH_Vis_6,hihi,112.492645759269
233326,LH_Vis_6,hihi,325.784293186497
300618,LH_Vis_6,hihi,2538.67561441985
346945,LH_Vis_6,hihi,386.356775991289
393550,LH_Vis_6,hihi,119.277212003946
448347,LH_Vis_6,hihi,2132.16400632753
580650,LH_Vis_6,hihi,606.109130639968
594156,LH_Vis_6,hihi,659.012736213133
601127,LH_Vis_6,hihi,55.2279714722404
672756,LH_Vis_6,hihi,375.961821647961
765864,LH_Vis_6,hihi,156.550405781167
849971,LH_Vis_6,hihi,42.2680177740095
877168,LH_Vis_6,hihi,361.188821244487
DMCC0472647,LH_Vis_6,hihi,555.666245333132
DMCC1328342,LH_Vis_6,hihi,612.474981978228
DMCC1624043,LH_Vis_6,hihi,111.238041794282
DMCC3963378,LH_Vis_6,hihi,662.206979455332
DMCC4854984,LH_Vis_6,hihi,73.9373530737095
DMCC5065053,LH_Vis_6,hihi,91.9030101099434
DMCC5195268,LH_Vis_6,hihi,298.395955539995
DMCC5244053,LH_Vis_6,hihi,1022.3670375587
DMCC5775387,LH_Vis_6,hihi,264.046774313624
DMCC5820265,LH_Vis_6,hihi,63.0032169957154
DMCC6418065,LH_Vis_6,hihi,295.485436890236
DMCC6627478,LH_Vis_6,hihi,154.327018037203
DMCC6671683,LH_Vis_6,hihi,342.463466490782
DMCC6705371,LH_Vis_6,hihi,328.87501714139
DMCC7297690,LH_Vis_6,hihi,77.5844669478336
DMCC7921988,LH_Vis_6,hihi,563.716875232164
DMCC8050964,LH_Vis_6,hihi,142.897902868301
DMCC8078683,LH_Vis_6,hihi,670.314768261304
DMCC8214059,LH_Vis_6,hihi,100.050943902387
DMCC8260571,LH_Vis_6,hihi,306.900304794256
DMCC9441378,LH_Vis_6,hihi,194.07192825486
DMCC9478705,LH_Vis_6,hihi,330.960440041764
DMCC9850294,LH_Vis_6,hihi,438.216060089311
DMCC9953810,LH_Vis_6,hihi,131.953456899673
102008,LH_Vis_7,hihi,25.5863362822853
107321,LH_Vis_7,hihi,29.3102353194678
115825,LH_Vis_7,hihi,124.183259369963
123117,LH_Vis_7,hihi,81.8159787518856
130114,LH_Vis_7,hihi,307.48701574148
130518,LH_Vis_7,hihi,283.182740771108
132017,LH_Vis_7,hihi,95.3685726766506
141422,LH_Vis_7,hihi,11.0201411863329
150423,LH_Vis_7,hihi,36.285956819349
158136,LH_Vis_7,hihi,32.2868281168289
161832,LH_Vis_7,hihi,16.3107197124103
165032,LH_Vis_7,hihi,37.0991159936042
173738,LH_Vis_7,hihi,33.0226521229153
176845,LH_Vis_7,hihi,8.95225048861363
178950,LH_Vis_7,hihi,17.6886220041815
182436,LH_Vis_7,hihi,39.8059755724113
203418,LH_Vis_7,hihi,23.9735459847719
204319,LH_Vis_7,hihi,778.375329133556
233326,LH_Vis_7,hihi,220.766698627898
300618,LH_Vis_7,hihi,153.982635205628
346945,LH_Vis_7,hihi,17.8265525212119
393550,LH_Vis_7,hihi,44.2016750839021
448347,LH_Vis_7,hihi,62.5829162485166
580650,LH_Vis_7,hihi,50.7418680706518
594156,LH_Vis_7,hihi,162.182879382724
601127,LH_Vis_7,hihi,19.8593702532954
672756,LH_Vis_7,hihi,26.5361700228832
765864,LH_Vis_7,hihi,93.6365844968062
849971,LH_Vis_7,hihi,13.9352362347186
877168,LH_Vis_7,hihi,178.634353300347
DMCC0472647,LH_Vis_7,hihi,52.9177514983522
DMCC1328342,LH_Vis_7,hihi,40.2096102480352
DMCC1624043,LH_Vis_7,hihi,27.7454975720844
DMCC3963378,LH_Vis_7,hihi,201.09076040504
DMCC4854984,LH_Vis_7,hihi,15.642402165974
DMCC5065053,LH_Vis_7,hihi,14.4539239596581
DMCC5195268,LH_Vis_7,hihi,43.5421173494794
DMCC5244053,LH_Vis_7,hihi,9.4540846893364
DMCC5775387,LH_Vis_7,hihi,59.5495189992406
DMCC5820265,LH_Vis_7,hihi,18.0240952438844
DMCC6418065,LH_Vis_7,hihi,19.3437234664835
DMCC6627478,LH_Vis_7,hihi,48.0888108339533
DMCC6671683,LH_Vis_7,hihi,39.3583114056782
DMCC6705371,LH_Vis_7,hihi,81.298515953561
DMCC7297690,LH_Vis_7,hihi,7.70322934553896
DMCC7921988,LH_Vis_7,hihi,43.2674238563348
DMCC8050964,LH_Vis_7,hihi,22.3820427631474
DMCC8078683,LH_Vis_7,hihi,59.9804080599681
