subj,parcel,term,beta
DMCC8050964,LH_Vis_4,hihi,-0.00230154487706406
DMCC8078683,LH_Vis_4,hihi,0.064590611495964
DMCC8214059,LH_Vis_4,hihi,0.00711159871881465
DMCC8260571,LH_Vis_4,hihi,-0.00594886663571144
DMCC9441378,LH_Vis_4,hihi,0.0344973413181098
DMCC9478705,LH_Vis_4,hihi,0.0158649769198807
DMCC9850294,LH_Vis_4,hihi,-0.0164248481433505
DMCC9953810,LH_Vis_4,hihi,0.0297333900775644
102008,LH_Vis_5,hihi,-0.0115734063032705
107321,LH_Vis_5,hihi,0.0128883256998674
115825,LH_Vis_5,hihi,0.0230597441602797
123117,LH_Vis_5,hihi,-0.0169635871755669
130114,LH_Vis_5,hihi,6.47598347777133e-05
130518,LH_Vis_5,hihi,0.0304210791647304
132017,LH_Vis_5,hihi,0.0359056768792949
141422,LH_Vis_5,hihi,-0.0261438727925107
150423,LH_Vis_5,hihi,-0.000655164654872588
158136,LH_Vis_5,hihi,-0.0271913890995129
161832,LH_Vis_5,hihi,0.0740208536309634
165032,LH_Vis_5,hihi,0.187457315521369
173738,LH_Vis_5,hihi,0.0149802142233828
176845,LH_Vis_5,hihi,-0.00124437809065455
178950,LH_Vis_5,hihi,0.0545900342156598
182436,LH_Vis_5,hihi,-0.00502952736605712
203418,LH_Vis_5,hihi,0.0261300919437042
204319,LH_Vis_5,hihi,-0.0359559036255811
233326,LH_Vis_5,hihi,0.0114340482278409
300618,LH_Vis_5,hihi,0.155187992912191
346945,LH_Vis_5,hihi,0.0064246672278414
393550,LH_Vis_5,hihi,-0.0422331248382846
448347,LH_Vis_5,hihi,-0.0238176018014326
580650,LH_Vis_5,hihi,-0.00224663983907543
594156,LH_Vis_5,hihi,0.00564141757599201
601127,LH_Vis_5,hihi,0.0590060166103629
672756,LH_Vis_5,hihi,-0.0083477856840823
765864,LH_Vis_5,hihi,-0.0066889803379872
849971,LH_Vis_5,hihi,-0.000911791987501835
877168,LH_Vis_5,hihi,-0.0349010614646193
DMCC0472647,LH_Vis_5,hihi,0.00653259059584561
DMCC1328342,LH_Vis_5,hihi,-0.039976327235404
DMCC1624043,LH_Vis_5,hihi,0.04358721221173
DMCC3963378,LH_Vis_5,hihi,-0.00257196426444987
DMCC4854984,LH_Vis_5,hihi,-0.00268544717749135
DMCC5065053,LH_Vis_5,hihi,-0.00212483233508639
DMCC5195268,LH_Vis_5,hihi,0.0161567655967406
DMCC5244053,LH_Vis_5,hihi,-0.0131785878092099
DMCC5775387,LH_Vis_5,hihi,0.0186228213412838
DMCC5820265,LH_Vis_5,hihi,-0.0150015988412306
DMCC6418065,LH_Vis_5,hihi,0.0168959851773659
DMCC6627478,LH_Vis_5,hihi,-0.0041862878144379
DMCC6671683,LH_Vis_5,hihi,0.0461756069909368
DMCC6705371,LH_Vis_5,hihi,0.0173211209418218
DMCC7297690,LH_Vis_5,hihi,-0.00648054062260353
DMCC7921988,LH_Vis_5,hihi,0.00135068619011838
DMCC8050964,LH_Vis_5,hihi,-0.00206529976443645
DMCC8078683,LH_Vis_5,hihi,0.0284252446621671
DMCC8214059,LH_Vis_5,hihi,0.0336612667290005
DMCC8260571,LH_Vis_5,hihi,0.000707610078538627
DMCC9441378,LH_Vis_5,hihi,-0.000457391737773014
DMCC9478705,LH_Vis_5,hihi,0.00945648403050613
