subj,parcel,term,beta
130114,LH_Vis_6,hihi,-0.0511507827767982
130518,LH_Vis_6,hihi,0.0788731446496698
132017,LH_Vis_6,hihi,0.245297839466992
141422,LH_Vis_6,hihi,0.0884726118520679
150423,LH_Vis_6,hihi,0.308021219507727
158136,LH_Vis_6,hihi,0.140385478728344
161832,LH_Vis_6,hihi,-0.000950777034621153
165032,LH_Vis_6,hihi,-0.0267529159657441
173738,LH_Vis_6,hihi,0.179433002157694
176845,LH_Vis_6,hihi,0.568740597284518
178950,LH_Vis_6,hihi,0.101190974165643
182436,LH_Vis_6,hihi,-0.0450145986779898
203418,LH_Vis_6,hihi,0.324595909564953
204319,LH_Vis_6,hihi,0.0348106886511604
233326,LH_Vis_6,hihi,-0.0759843851489411
300618,LH_Vis_6,hihi,0.807025638584735
346945,LH_Vis_6,hihi,0.518488534751949
393550,LH_Vis_6,hihi,0.474468604254572
448347,LH_Vis_6,hihi,0.436955947928884
580650,LH_Vis_6,hihi,0.259236047274158
594156,LH_Vis_6,hihi,0.163001051433602
601127,LH_Vis_6,hihi,0.310060883316573
672756,LH_Vis_6,hihi,0.0510351781037919
765864,LH_Vis_6,hihi,0.67990212553161
849971,LH_Vis_6,hihi,0.0635462293748825
877168,LH_Vis_6,hihi,0.0322828677420073
DMCC0472647,LH_Vis_6,hihi,-0.0565448698115941
DMCC1328342,LH_Vis_6,hihi,0.356250685710509
DMCC1624043,LH_Vis_6,hihi,-0.0465501702745365
DMCC3963378,LH_Vis_6,hihi,0.343186856278796
DMCC4854984,LH_Vis_6,hihi,0.290862228582483
DMCC5065053,LH_Vis_6,hihi,0.207948119866643
DMCC5195268,LH_Vis_6,hihi,0.245761982835015
DMCC5244053,LH_Vis_6,hihi,0.423965457965902
DMCC5775387,LH_Vis_6,hihi,0.0867429721142407
DMCC5820265,LH_Vis_6,hihi,0.311903789053668
DMCC6418065,LH_Vis_6,hihi,0.075122816457411
DMCC6627478,LH_Vis_6,hihi,0.195587772012551
DMCC6671683,LH_Vis_6,hihi,-0.0392797905564742
DMCC6705371,LH_Vis_6,hihi,0.215015577841325
DMCC7297690,LH_Vis_6,hihi,0.254873221047814
DMCC7921988,LH_Vis_6,hihi,0.0919824761037883
DMCC8050964,LH_Vis_6,hihi,-0.0230580332317465
DMCC8078683,LH_Vis_6,hihi,0.99078488216121
