parcel,estimate,se,df,statistic,p.value,term,p.fdr,network
LH_Default_Par_6,0.0489729140455569,0.0730214461649359,51.9999996209242,0.670664806267192,0.505402083899184,(Intercept),0.982995546213255,Default
LH_Default_Par_7,0.171424846418039,0.0852583448178612,51.9998556695937,2.01065182281285,0.0495610393527332,(Intercept),0.836183875184469,Default
LH_Default_PFC_1,-0.115578440739525,0.0590435385183868,51.9999990821806,-1.95751209429179,0.0556642202483508,(Intercept),0.836183875184469,Default
LH_Default_PFC_2,0.108509479433243,0.0722362443513449,51.9999993473223,1.50214730025929,0.139107862775743,(Intercept),0.836183875184469,Default
LH_Default_PFC_3,-0.0544861503437645,0.0574395400155792,51.9999997552181,-0.94858263713439,0.347220722574442,(Intercept),0.943702873286967,Default
LH_Default_PFC_4,-0.0982050647507304,0.0725532691408863,51.9999991754059,-1.35355809481214,0.181731984230996,(Intercept),0.836183875184469,Default
LH_Default_PFC_5,-0.0221047317386579,0.0655407435738097,51.9999993592829,-0.337267027093831,0.737273212143458,(Intercept),0.995873056054404,Default
LH_Default_PFC_6,0.000291700855224994,0.070222748757197,51.9999976446651,0.00415393672830414,0.996701542899977,(Intercept),0.999633345361607,Default
LH_Default_PFC_7,-0.0110726428909891,0.0778122110310768,51.9999651461484,-0.142299553556792,0.887393326197779,(Intercept),0.995873056054404,Default
LH_Default_PFC_8,-0.00551304945563761,0.070002557704302,51.9999989346133,-0.0787549717672501,0.93752980653449,(Intercept),0.997460964680316,Default
LH_Default_PFC_9,-0.11295970037392,0.0609077284068666,51.99999776198,-1.85460373139092,0.0693270871346612,(Intercept),0.836183875184469,Default
LH_Default_PFC_10,-0.0554774355542467,0.0625892701001733,51.9999977014099,-0.886372943244997,0.379497579677332,(Intercept),0.956142652908533,Default
LH_Default_PFC_11,-0.00719658077654238,0.0778083987292777,51.9999995493559,-0.0924910535889804,0.926663319139261,(Intercept),0.997460964680316,Default
LH_Default_PFC_12,-0.00858428168873158,0.0796523168911863,51.9999972452259,-0.107771901983198,0.914591392132598,(Intercept),0.997460964680316,Default
LH_Default_PFC_13,-0.0299088598110381,0.0712954861968968,51.999998727241,-0.419505657461102,0.676574728997378,(Intercept),0.995873056054404,Default
LH_Default_PFC_14,-0.0133820792830472,0.0769694370947078,51.9993845082086,-0.173862246992675,0.862648817332505,(Intercept),0.995873056054404,Default
LH_Default_PFC_15,0.0103705309544101,0.0654581121074604,51.9999977980885,0.158430034422397,0.874731628340484,(Intercept),0.995873056054404,Default
