parcel,estimate,se,df,statistic,p.value,term,p.fdr,hemi,num.roi
LH_Vis_15,0.0325107199074079,0.0215561878179649,809.000024952831,1.50818503633159,0.131897580524625,hiloInCon,0.266459758635607,L,15
LH_Vis_16,0.0565813680555555,0.026858863176994,809.000021359282,2.1066181276064,0.0354580808994182,hiloInCon,0.109947537672615,L,16
LH_Vis_17,0.0139932407407407,0.0122514580988337,809.000182726049,1.14216941590592,0.253721534868183,hiloInCon,0.402732595028861,L,17
LH_Vis_18,0.036428099537037,0.0204987364865672,809.000021843373,1.77708999581063,0.0759290983631374,hiloInCon,0.181866103863802,L,18
LH_Vis_19,0.00308538888888882,0.0183153727691529,809.000021974531,0.168458973113847,0.866264323445622,hiloInCon,0.921557790899598,L,19
LH_Vis_20,0.0130710462962965,0.019799843005968,809.000022002201,0.660159087744111,0.509339651403755,hiloInCon,0.64473373595412,L,20
LH_Vis_21,0.0569119675925927,0.0223880624032478,809.000000629705,2.54206757902983,0.0112053206894545,hiloInCon,0.0553349169849606,L,21
LH_Vis_22,0.042253349537037,0.0223621226382663,809.000001486421,1.8895053130928,0.0591814907754602,hiloInCon,0.157817308734561,L,22
LH_Vis_23,0.0119518935185185,0.0122471467258973,809.000051693989,0.975892082132524,0.329409661333956,hiloInCon,0.47397073573231,L,23
LH_Vis_24,0.00532519907407412,0.0129928390174736,809.000051959458,0.40985646531235,0.682019746372438,hiloInCon,0.790002411326976,L,24
LH_Vis_25,0.0144392638888889,0.0144774722579942,809.000049760938,0.997360839763711,0.318887608337516,hiloInCon,0.46552935523725,L,25
LH_Vis_26,0.0206409814814816,0.0156950110263281,809.000003709834,1.31513010388185,0.188838815603049,hiloInCon,0.331079138756272,L,26
LH_Vis_27,0.0138564398148147,0.0141837812855833,809.000022129052,0.976921424253681,0.328900084083156,hiloInCon,0.47397073573231,L,27
LH_Vis_28,0.0327876574074074,0.0147810461860832,809.000001369395,2.21822305367519,0.0268165916508027,hiloInCon,0.0901398038682445,L,28
LH_Vis_29,0.00850666898148174,0.0145714083950603,809.000001497935,0.583791816881989,0.559523111967407,hiloInCon,0.688643830113731,L,29
LH_Vis_30,0.0181513587962961,0.0151084697448563,809.000021821422,1.20140286229026,0.229946560147379,hiloInCon,0.381314015451564,L,30
LH_Vis_31,0.0254577314814815,0.013630036687629,809.000021992351,1.86776690811021,0.0621559265591912,hiloInCon,0.163568227787345,L,31
LH_SomMot_1,0.00970072916666664,0.0141895443346306,809.000001110358,0.683653325145282,0.494389861501815,hiloInCon,0.63180812971478,L,32
LH_SomMot_2,0.00842617824074075,0.0170214921528641,809.000000279111,0.495031702571558,0.620712160358115,hiloInCon,0.738943048045375,L,33
LH_SomMot_3,0.0329300300925926,0.0151442230135134,809.000001953491,2.17442849746788,0.029962110272417,hiloInCon,0.0958787528717345,L,34
LH_SomMot_4,0.0297164212962963,0.0157954272288973,809.000184914273,1.88133064498129,0.0602858305432923,hiloInCon,0.159697564353092,L,35
LH_SomMot_5,0.0494650578703703,0.0192019010470474,809.000001261387,2.57605003531546,0.0101699417177041,hiloInCon,0.0522133759907548,L,36
LH_SomMot_6,0.0233248587962963,0.0137050415606159,809.000141853736,1.70191813670415,0.0891549140044626,hiloInCon,0.20532881656529,L,37
LH_SomMot_7,0.031880648148148,0.0161453562226202,809.000179456426,1.97460171882006,0.0486530492389462,hiloInCon,0.134623807441286,L,38
LH_SomMot_8,0.033405011574074,0.0166544554044921,809.000139442122,2.00577027364485,0.0452132996546995,hiloInCon,0.130110214833668,L,39
LH_SomMot_9,0.0126217222222222,0.0168333146581621,809.000026112138,0.749806112375036,0.453589473690729,hiloInCon,0.594871440905874,L,40
LH_SomMot_10,0.052898775462963,0.0206511877567772,809.000001330761,2.56153670607168,0.0106012152407785,hiloInCon,0.0530060762038923,L,41
LH_SomMot_11,0.051362726851852,0.0173063402360683,809.000002543239,2.96785606611422,0.00308727876258968,hiloInCon,0.0294026548818065,L,42
LH_SomMot_12,0.0382309513888889,0.0192584094444675,809.000189861681,1.98515622482374,0.0474643948802387,hiloInCon,0.134623807441286,L,43
LH_SomMot_13,0.0258135925925926,0.0153018066666126,809.000001172374,1.68696371317486,0.0919958375867413,hiloInCon,0.20532881656529,L,44
LH_SomMot_14,0.0466206898148148,0.0277137974027569,809.000001272339,1.68221947852506,0.092912183886309,hiloInCon,0.20532881656529,L,45
LH_SomMot_15,0.0207179652777778,0.0173126647739664,809.000000180186,1.19669418591943,0.231776345039465,hiloInCon,0.381524847801588,L,46
LH_SomMot_16,0.0423626921296295,0.0176716956930416,809.000156421305,2.39720584065458,0.016746518994473,hiloInCon,0.0727437993571686,L,47
LH_SomMot_17,0.0394101273148147,0.0203425480753057,809.00000168239,1.93732501793399,0.05305340108823,hiloInCon,0.14338757050873,L,48
LH_SomMot_18,0.0238296064814814,0.0140461241580711,809.000163267798,1.69652540539367,0.0901711091371085,hiloInCon,0.20532881656529,L,49
LH_SomMot_19,0.0205731782407408,0.0153268989117938,809.000022023035,1.34229229011944,0.179877795015493,hiloInCon,0.321210348241952,L,50
LH_SomMot_20,0.0285586319444445,0.0188682242350849,809.000151094331,1.51358345060054,0.130522077743907,hiloInCon,0.266459758635607,L,51
LH_SomMot_21,0.0407979421296296,0.0202737256385812,809.000171318566,2.01235544255322,0.0445134657265201,hiloInCon,0.129024538337739,L,52
LH_SomMot_22,0.0616507962962966,0.0264600962485485,809.000021732003,2.32995359189892,0.0200537479207874,hiloInCon,0.0810252441243935,L,53
LH_SomMot_23,0.0128615925925926,0.0126386733064336,809.00016848393,1.01763787074436,0.309154314197718,hiloInCon,0.461269640086763,L,54
